rank,id,score,views,favors,likes,comments,date,recency_x,translated,tags,title,url,decision,notes
99,117696723,4.29,2700,6,1,0,2022-02-21,0.8,yes,#AM5728 | #LINUX | #开源 | #运动控制 | #DSP+ARM,基于AM5728 linux开源ethercat运动控制一体机解决方案,https://blog.csdn.net/yeyuangen/article/details/117696723,,
100,122832903,4.273,3500,5,1,0,2022-02-08,0.8,yes,#ZYNQ | #ARM+FPGA | #图像处理,基于ZYNQ的数据存储和实时成像系统,https://blog.csdn.net/yeyuangen/article/details/122832903,,
101,131200541,4.267,2200,4,0,0,2023-06-26,0.9,yes,#fpga开发 | #电能质量分析仪 | #ARM+FPGA | #NI,【国产虚拟仪器】基于ARM+FPGA+8通道高速AD代替美国国家仪器的电能质量分析仪设计（一）NI方案介绍,https://blog.csdn.net/yeyuangen/article/details/131200541,,
102,127565140,4.242,1700,6,2,0,2022-10-28,0.8,yes,#C6678 | #ZYNQ,C6678/C6657+ZYNQ/K7/A7 FPGA+AD+北斗的软硬件设计方案,https://blog.csdn.net/yeyuangen/article/details/127565140,,
103,125092152,4.235,3600,5,0,1,2022-06-08,0.8,yes,#RK3568 | #工业网关 | #6路千兆 | #高性价比,基于RK3568低成本6路千兆网口AI工业网关设计方案,https://blog.csdn.net/yeyuangen/article/details/125092152,,
104,127569249,4.234,4000,6,0,0,2022-10-28,0.8,yes,#C6678+K7+AD,C6678+K7+AD9253/AD9783 8路AD高速信号处理板,https://blog.csdn.net/yeyuangen/article/details/127569249,,
105,134103463,4.229,2000,4,0,0,2023-10-29,0.9,yes,#microsoft,基于 ＡＲＭ＋ＦＰＧＡ+AD的高精度数据采集系统设计,https://blog.csdn.net/yeyuangen/article/details/134103463,,
106,134325102,4.166,1700,4,0,0,2023-11-17,0.9,yes,#codesys,RK3568+Codesys+Xenomai实时软PLC运动控制解决方案,https://blog.csdn.net/yeyuangen/article/details/134325102,,
107,127595870,4.156,2500,5,1,0,2022-10-30,0.8,yes,#5G评估板 | #软件无线电,ZYNQ RFSoc开发板-usrp软件无线电X410mini开发板-5G评估板,https://blog.csdn.net/yeyuangen/article/details/127595870,,
108,132444260,4.117,1500,4,0,0,2023-08-23,0.9,yes,#labview | #嵌入式硬件,基于labview设备状态监测和故障诊断（一）NI软硬件介绍,https://blog.csdn.net/yeyuangen/article/details/132444260,,
109,131095009,4.103,1300,3,1,0,2023-06-07,0.9,yes,#网络 | #RK3399+FPGA,基于RK3399+FPGA的地面测试台多参数数据记录仪方案(一）硬件设计,https://blog.csdn.net/yeyuangen/article/details/131095009,,
110,125420701,4.084,4200,2,1,2,2022-06-23,0.8,yes,#RK3568 | #多网口 | #鸿蒙,RK3568多千兆网口安卓视频控制器全国产方案,https://blog.csdn.net/yeyuangen/article/details/125420701,,
111,127126276,4.07,3400,5,0,0,2022-10-10,0.8,yes,,龙芯+复旦微FPGA全国产VPX高速数据采集卡解决方案,https://blog.csdn.net/yeyuangen/article/details/127126276,,
112,134754410,4.055,2000,3,0,0,2023-12-02,0.9,yes,#人工智能 | #边缘计算,"基于算能的国产AI边缘计算盒子,内置强悍TPU | 32TOPS INT8算力",https://blog.csdn.net/yeyuangen/article/details/134754410,,
113,105554507,4.008,1200,6,1,0,2020-04-16,0.8,yes,#AM5728 | #NOR启动,AM335X 、AM5728 NOR flash启动,https://blog.csdn.net/yeyuangen/article/details/105554507,,
114,123171075,3.993,2000,6,0,0,2022-08-29,0.8,yes,#fpga开发 | #arm | #ethercat,基于DSP/ARM+FPGA的类PLC 高性能高实时Ethercat运动控制系统方案,https://blog.csdn.net/yeyuangen/article/details/123171075,,
115,120321742,3.979,1500,5,1,0,2021-09-16,0.8,yes,#OMPAL138 | #FPGA | #防撞雷达,omapl138+FPGA AD7606数据采集测试,https://blog.csdn.net/yeyuangen/article/details/120321742,,
116,131995711,3.975,2900,2,0,0,2023-07-29,0.9,yes,#人工智能 | #RK3588 | #人工智能算法服务,基于RK3588+AI的边缘计算算法方案：智慧园区、智慧社区、智慧物流,https://blog.csdn.net/yeyuangen/article/details/131995711,,
117,127518880,3.947,1300,4,1,1,2022-10-25,0.8,yes,#嵌入式硬件 | #手术机器人,手术机器人软硬件设计方案,https://blog.csdn.net/yeyuangen/article/details/127518880,,
118,133283165,3.942,1500,3,0,0,2023-09-25,0.9,yes,#fpga开发 | #arm开发,基于ARM+FPGA的ISA总线／MMи总线接口转换设计在轨道交通的应用,https://blog.csdn.net/yeyuangen/article/details/133283165,,
119,128399985,3.937,1700,6,0,0,2022-12-21,0.8,yes,#人工智能,硅片检测半导体运动台控制器的设计（二）,https://blog.csdn.net/yeyuangen/article/details/128399985,,
120,126963671,3.934,2000,2,3,1,2022-09-20,0.8,yes,#arm | #fpga开发 | #图像处理,ARM+FPGA医疗图像处理解决方案,https://blog.csdn.net/yeyuangen/article/details/126963671,,
121,130829864,3.901,2400,2,0,0,2023-05-23,0.9,yes,#国产实时操作系统 | #全国产主板,翼辉+飞腾全国产实时操作系统与全国产主板工控方案在电力产品的应用,https://blog.csdn.net/yeyuangen/article/details/130829864,,
122,117535952,3.885,967,6,0,1,2021-06-03,0.8,yes,#C6748 | #FPGA | #DSP+FPGA | #雷达 | #导航,基于C6748 +FPGA 测角测距连续波雷达的目标检测方法及其平台设计,https://blog.csdn.net/yeyuangen/article/details/117535952,,
123,127521138,3.876,2800,4,0,0,2022-10-25,0.8,yes,#fpga开发,国产ARM+FPGA+AD低成本高性能数据采集卡方案,https://blog.csdn.net/yeyuangen/article/details/127521138,,
124,127583358,3.875,1600,4,1,0,2022-10-29,0.8,yes,#fpga开发 | #视频融合,直升机FPGA多路视频采集叠加OSD字符VGA-HDMI-DVI-SDI采集融合板卡设计,https://blog.csdn.net/yeyuangen/article/details/127583358,,
125,127579719,3.868,1900,5,0,0,2022-10-28,0.8,yes,#地面监视雷达,地面监视雷达系统的设计与试验,https://blog.csdn.net/yeyuangen/article/details/127579719,,
126,109059926,3.857,1100,4,2,0,2020-10-13,0.8,yes,#AM5728 | #电力巡检 | #机器人 | #DSP | #ARM,基于AM5728 DSP+ARM的智能电力巡检机器人设计,https://blog.csdn.net/yeyuangen/article/details/109059926,,
127,134048382,3.853,1400,2,0,1,2023-10-26,0.9,yes,#fpga开发,基于 ARM+FPGA+AD平台的多类型同步信号采集仪开发及试验验证（二）板卡总体设计,https://blog.csdn.net/yeyuangen/article/details/134048382,,
128,134754288,3.849,2100,2,0,0,2023-12-02,0.9,yes,#人工智能 | #边缘计算,基于算能的国产AI边缘计算盒子8核心A53丨17.6Tops算力,https://blog.csdn.net/yeyuangen/article/details/134754288,,
129,116896814,3.83,1700,5,0,0,2021-05-16,0.8,yes,#AM5728 | #DSP | #JTAG,基于AM5728 DSP JTAG连接调试方法,https://blog.csdn.net/yeyuangen/article/details/116896814,,
130,127289327,3.827,3800,3,0,0,2022-10-14,0.8,yes,#人工智能 | #物联网 | #RK3588,RK3588 AI 边缘计算智慧交通智能安防工业主板设计方案,https://blog.csdn.net/yeyuangen/article/details/127289327,,
131,118828381,3.797,1800,3,0,2,2021-07-16,0.8,yes,#OMAPL138 | #FPGA | #SDR | #软件无线电 | #DSP+ARM,基于OMAP-L138 DSP+ARM处理器与FPGA实现SDR软件无线电系统,https://blog.csdn.net/yeyuangen/article/details/118828381,,
132,108413479,3.786,1100,6,0,0,2020-09-05,0.8,yes,#AM5728 | #DSP+ARM | #运动控制 | #机器视觉,基于AM5728 DSP+ARM工业运动控制-数控机床-工业运动控制器系统方案,https://blog.csdn.net/yeyuangen/article/details/108413479,,
133,129078124,3.784,890,4,2,0,2023-02-17,0.8,yes,#硬件架构 | #工业网关 | #RTU | #油井,基于国产龙芯 CPU 的气井工业网关研究与设计（二）,https://blog.csdn.net/yeyuangen/article/details/129078124,,
134,118756705,3.78,1400,4,0,1,2021-07-15,0.8,yes,#OMAPL138 | #光纤传感器 | #FPGA | #分布式,基于OMPAL138+FPGA分布式光纤传感器系统设计,https://blog.csdn.net/yeyuangen/article/details/118756705,,
135,122900769,3.774,5800,2,0,0,2022-02-21,0.8,yes,#边缘计算 | #人工智能,数控机床现场数据采集与边缘计算方案,https://blog.csdn.net/yeyuangen/article/details/122900769,,
136,105074879,3.762,1400,5,0,0,2020-03-24,0.8,yes,#AM5728 | #DSP+ARM+FPGA | #多核异构 | #工业控制 | #数据采集,TI AM5728 DSP+ARM+FPGA多核异构工业控制处理器,https://blog.csdn.net/yeyuangen/article/details/105074879,,
137,128466427,3.762,1400,5,0,0,2022-12-28,0.8,yes,#全国产,100%全国产龙芯2K1000设计方案,https://blog.csdn.net/yeyuangen/article/details/128466427,,
138,118175736,3.754,1300,4,0,1,2021-06-24,0.8,yes,#OMAPL138 | #C6748 | #DSP | #SPARTAN6 | #数据采集,基于OMAPL138 + Xilinx spartan6的电力数据采集与传输设计,https://blog.csdn.net/yeyuangen/article/details/118175736,,
139,128459951,3.75,2800,2,0,2,2022-12-27,0.8,yes,#飞腾 | #FPGA | #国产操作系统,飞腾FT-2000/4处理器+复旦微FPGA+国产操作系统解决方案(2),https://blog.csdn.net/yeyuangen/article/details/128459951,,
140,104483002,3.744,1100,4,1,0,2020-02-24,0.8,yes,#AM5728 | #DSP | #ARM | #机器人 | #机械手,基于AM5728 DSP+ARM采摘机械手控制系统设计,https://blog.csdn.net/yeyuangen/article/details/104483002,,
141,134104001,3.743,899,3,0,0,2023-10-29,0.9,yes,#EMS | #储能方案,基于RK3568高性价比全国产EMS储能解决方案（二）设计方案,https://blog.csdn.net/yeyuangen/article/details/134104001,,
142,127985044,3.742,1900,4,0,0,2022-11-22,0.8,yes,#profinet | #ethercat | #网关,PROFINET转EtherCAT网关方案设计,https://blog.csdn.net/yeyuangen/article/details/127985044,,
143,128891952,3.736,1300,5,0,0,2023-02-05,0.8,yes,#PCB | #图像检测 | #AOI,大幅面柔性印刷线路板缺陷在线视觉检测系统设计,https://blog.csdn.net/yeyuangen/article/details/128891952,,
144,132311200,3.73,2000,1,1,0,2023-08-16,0.9,yes,#单片机 | #嵌入式硬件,线切割数控系统 CAM 功能开发,https://blog.csdn.net/yeyuangen/article/details/132311200,,
145,105554838,3.723,1800,4,0,0,2022-02-08,0.8,yes,#AM5728 | #边缘计算 | #工业控制 | #工业数据采集 | #工业网关,AM5728 DSP+ARM平台在5G工业网关、工业数据采集、边缘计算的应用,https://blog.csdn.net/yeyuangen/article/details/105554838,,
146,127579519,3.723,1800,4,0,0,2022-10-28,0.8,yes,#无人机 | #雷达,无人机探测雷达软硬件解决方案,https://blog.csdn.net/yeyuangen/article/details/127579519,,
147,108329431,3.711,1000,4,1,0,2020-08-31,0.8,yes,#AM5728 | #3D | #打印 | #ARM | #DSP | AE | C | 医疗,基于TI AM5728设计3D打印机方案,https://blog.csdn.net/yeyuangen/article/details/108329431,,
148,111823712,3.709,2700,3,0,0,2020-12-27,0.8,yes,,ubuntu 安装rar/unrar 提示错误E: Package ‘unrar‘ has no installation candidate解决方法,https://blog.csdn.net/yeyuangen/article/details/111823712,,
149,126429566,3.709,994,4,1,0,2022-08-19,0.8,yes,#fpga开发 | #机器人,基于C6657+国产FPGA的DSP+FPGA主控板设计方案在核电机器人的应用,https://blog.csdn.net/yeyuangen/article/details/126429566,,
150,126946420,3.682,2500,3,0,0,2022-09-20,0.8,yes,#arm | #fpga开发 | #嵌入式硬件,物理气相沉积半导体设备 PVD DSP/ARM+FPGA控制器设计,https://blog.csdn.net/yeyuangen/article/details/126946420,,
151,113574231,3.678,1100,5,0,0,2021-02-02,0.8,yes,#AM5728 | #XENOMAI,基于TI AM5728 移植 实时操作系统Xenomai,https://blog.csdn.net/yeyuangen/article/details/113574231,,
152,114708180,3.678,1100,5,0,0,2021-03-12,0.8,yes,#omapl138 | #水声通信 | #OFDM | #C6748 | #FPGA,基于OMAPL138 DSP+ARM的OFDM水声通信系统研究与设计,https://blog.csdn.net/yeyuangen/article/details/114708180,,
153,122850713,3.678,1100,5,0,0,2022-02-09,0.8,yes,#ethercat | #st32,高性价比高实时Ethercat现场总线工业运动控制方案,https://blog.csdn.net/yeyuangen/article/details/122850713,,
154,126958976,3.668,2400,3,0,0,2022-09-20,0.8,yes,#fpga开发,基于国产 AＲM + FPGA+Codesys运动控制平台的智能人机交互系统设计,https://blog.csdn.net/yeyuangen/article/details/126958976,,
155,123141480,3.659,1500,4,0,0,2022-02-25,0.8,yes,#fpga开发 | #C665x,TI TMS320C665x + Xilinx Artix-7 DSP+ARM核间通讯方案,https://blog.csdn.net/yeyuangen/article/details/123141480,,
156,119392297,3.641,988,5,0,0,2021-08-04,0.8,yes,#igh | #ethercat | #am5728 | #实时 | #Preempt-RT,AM5728 Preempt-RT Igh Ethercat安装与测试,https://blog.csdn.net/yeyuangen/article/details/119392297,,
157,127596046,3.637,2200,3,0,0,2022-10-30,0.8,yes,#24G安防雷达 | #毫米波雷达,24G安防雷达-雷视一体机-交通流量雷达-测速测距-77G毫米波雷达,https://blog.csdn.net/yeyuangen/article/details/127596046,,
158,121502446,3.634,968,5,0,0,2021-11-23,0.8,yes,#运动控制 | #omapl138 | #arm+fpga,XM6748F-IDK TMS320C6748+FPGA高速数据采集处理平台,https://blog.csdn.net/yeyuangen/article/details/121502446,,
159,117547568,3.621,2100,3,0,0,2021-06-04,0.8,yes,#C6748 | #FPGA | #SPARTAN6 | #雷达 | #毫米波,基于C6748 DSP+FPGA LFMCW雷达信号处理算法研究,https://blog.csdn.net/yeyuangen/article/details/117547568,,
160,118784768,3.616,1400,2,0,4,2021-07-16,0.8,yes,#OMAPL138 | #FPGA | #水声通信 | #软件无线电 | #OMAP,水声通信软件无线电OMAP平台的硬件设计与实现,https://blog.csdn.net/yeyuangen/article/details/118784768,,
161,126846070,3.61,1300,4,0,0,2022-09-14,0.8,yes,#半导体设备 | #DSP+FPGA | #控制器,全自动深腔键合机DSP+FPGA控制器解决方案,https://blog.csdn.net/yeyuangen/article/details/126846070,,
162,128332680,3.61,1300,4,0,0,2022-12-15,0.8,yes,#半导体运动台,基于DSP+FPGA高速宏微半导体运动平台的控制与实现,https://blog.csdn.net/yeyuangen/article/details/128332680,,
163,125625899,3.599,874,5,0,0,2023-02-14,0.8,yes,#RK3399 | #5g,基于 RK3399 5G 通信和图像增强算法的交通监控系统设计,https://blog.csdn.net/yeyuangen/article/details/125625899,,
164,134754567,3.591,3700,0,1,1,2023-12-02,0.9,yes,#人工智能 | #边缘计算,"基于算能的国产AI边缘计算盒子,8核心A53丨10.6Tops算力",https://blog.csdn.net/yeyuangen/article/details/134754567,,
165,131162261,3.526,918,2,0,0,2023-06-12,0.9,yes,#数据采集 | #声音 | #虚拟仪器,【国产虚拟仪器】基于 ZYNQ的声发射采集系统方案,https://blog.csdn.net/yeyuangen/article/details/131162261,,
166,128325493,3.507,968,4,0,0,2022-12-15,0.8,yes,#半导体运动台 | #控制器,硅片检测半导体运动台控制器的设计,https://blog.csdn.net/yeyuangen/article/details/128325493,,
167,106630728,3.484,1300,2,0,2,2020-06-08,0.8,yes,#AM5728 | #板卡定制 | #开发板 | #DSP | #ARM,基于AM5728开发板进行二次开发经验分享,https://blog.csdn.net/yeyuangen/article/details/106630728,,
168,128404322,3.48,1400,3,0,0,2022-12-22,0.8,yes,#FPGA | #ethercat从站 | #FOC | #电流环,ETHERCAT从站设计与FOC伺服马达电流环控制,https://blog.csdn.net/yeyuangen/article/details/128404322,,
169,128410412,3.48,1400,3,0,0,2022-12-22,0.8,yes,#自动化 | #XMC4800 | #Ethercat从站,基于XMC4800 Ethercat从站的工厂自动化解决方案,https://blog.csdn.net/yeyuangen/article/details/128410412,,
170,122832172,3.458,21000,0,0,0,2022-02-08,0.8,yes,#ZYNQ | #ARM+FPGA | #AD9361,基于ZYNQ+AD9361的软件无线电平台设计与实现,https://blog.csdn.net/yeyuangen/article/details/122832172,,
171,135310332,3.455,6900,0,0,0,2023-12-30,0.9,yes,#codesys | #stm32,STM32+Codesys工业软件PLC解决方案,https://blog.csdn.net/yeyuangen/article/details/135310332,,
172,126845832,3.453,2300,2,0,0,2022-09-14,0.8,yes,#环形线 | #DSP+FPGA | #ETHERCAT,倍福XTS | 磁驱柔性输送系统环形线Ethercat DSP+FPGA控制器,https://blog.csdn.net/yeyuangen/article/details/126845832,,
173,117535718,3.451,848,3,0,1,2021-06-03,0.8,yes,,基于C6748 DSP+FPGA MIMO雷达验证系统模块化设计与实现,https://blog.csdn.net/yeyuangen/article/details/117535718,,
174,128357056,3.437,2200,2,0,0,2022-12-17,0.8,yes,#5G | #人工智能,国产实时操作系统+intel x86/龙芯平台超边缘计算机方案,https://blog.csdn.net/yeyuangen/article/details/128357056,,
175,127579452,3.421,2100,2,0,0,2022-10-28,0.8,yes,#雷达DSP+FPGA | #雷达软件,三坐标低空目标预警探测雷达解决方案,https://blog.csdn.net/yeyuangen/article/details/127579452,,
176,118175339,3.394,805,2,2,0,2021-06-24,0.8,yes,#OMAPL138 | #C6748 | #DSP+ARM | #SPARTAN6 | #数据采集,信迈TI OMAP-L138（定点/浮点DSP C674x+ARM9） + Xilinx Spartan-6 FPGA开发板规格书,https://blog.csdn.net/yeyuangen/article/details/118175339,,
177,124699927,3.387,1900,2,0,0,2022-05-10,0.8,yes,#ZYNQ | #ISP核,Xilinx Zynq 7045实现支持29种CMOS传感器的Xinmai ISP IP,https://blog.csdn.net/yeyuangen/article/details/124699927,,
178,128409126,3.387,1900,2,0,0,2022-12-22,0.8,yes,#ETHERCAT | #从站,EtherCAT I/O 马达控制机器人从站控制器设计,https://blog.csdn.net/yeyuangen/article/details/128409126,,
179,131952835,3.345,1300,1,0,0,2023-07-27,0.9,yes,#fpga开发 | #stm32 | #嵌入式硬件,基于双 STM32+FPGA 的桌面数控车床控制系统设计,https://blog.csdn.net/yeyuangen/article/details/131952835,,
180,117449179,3.342,569,2,0,5,2021-06-01,0.8,yes,#omapl138 | #fpga | #spartan6 | #ad7606,基于OMAPL138/C6748+SPARTAN6高速数据采集存储系统,https://blog.csdn.net/yeyuangen/article/details/117449179,,
181,133918917,3.313,1200,1,0,0,2023-10-23,0.9,yes,#人工智能,NI9234 4 通道， ±5 V， 24 位软件可选 IEPE 和 AC/DC模拟输入模块振动测试国产替代,https://blog.csdn.net/yeyuangen/article/details/133918917,,
182,134023242,3.313,1200,1,0,0,2023-10-24,0.9,yes,#1024程序员节,基于ARM+FPGA+AD的多通道精密数据采集仪方案,https://blog.csdn.net/yeyuangen/article/details/134023242,,
183,106628244,3.305,844,3,0,0,2020-06-08,0.8,yes,#AM5728 | #音频 | #视频 | #工业控制 | #DSP,AM5728 DSP+ARM用于音频分析,https://blog.csdn.net/yeyuangen/article/details/106628244,,
184,122781065,3.295,1700,1,0,2,2022-02-04,0.8,yes,#工业网关,MQTT采集协议转换器转103 104 cdt 61850动环工业网关可定制试用,https://blog.csdn.net/yeyuangen/article/details/122781065,,
185,120150818,3.294,835,2,1,0,2021-09-07,0.8,yes,#matlab | #DSP | #声源定位 | #麦克风阵列 | #实时,基于OMAP平台的声源定位系统设计与实现,https://blog.csdn.net/yeyuangen/article/details/120150818,,
186,127619112,3.282,939,1,1,2,2022-11-29,0.8,yes,#harmonyos | #华为 | #鸿蒙教学平台,RK3568+鸿蒙教学实验平台鸿蒙认证设计方案,https://blog.csdn.net/yeyuangen/article/details/127619112,,
187,134048616,3.279,1100,1,0,0,2023-10-26,0.9,yes,#fpga开发,基于 ARM+FPGA+AD平台的多类型同步信号采集仪开发及试验验证（一）上位机设计,https://blog.csdn.net/yeyuangen/article/details/134048616,,
188,118176742,3.267,774,2,1,0,2021-06-24,0.8,yes,#OMAPL138 | #故障诊断仪 | #在线监测 | #数据采集 | #DSP,基于OMAP-L138的便携式设备状态监测与诊断仪设计,https://blog.csdn.net/yeyuangen/article/details/118176742,,
189,104951902,3.255,1300,2,0,0,2020-03-18,0.8,yes,#AM5728 | #DSP | #ARM | #高速数据 | #采集,基于AM5728 DSP+ARM平台高速数据AD采集处理设计与实现,https://blog.csdn.net/yeyuangen/article/details/104951902,,
190,106390678,3.255,1300,2,0,0,2020-05-27,0.8,yes,#AM5728 | #车牌识别 | #DSP+ARM,基于AM5728 DSP+ARM平台的嵌入式车牌识别,https://blog.csdn.net/yeyuangen/article/details/106390678,,
191,126958767,3.255,1300,2,0,0,2022-09-20,0.8,yes,#人工智能 | #RK3399PRO | #K7,RK3399pro + K7/A7 FPGA+ AI国产人工智能图像处理平台,https://blog.csdn.net/yeyuangen/article/details/126958767,,
192,132761254,3.242,1000,1,0,0,2023-09-08,0.9,yes,#arm开发,ARM+Codesys标准通用型控制器,https://blog.csdn.net/yeyuangen/article/details/132761254,,
193,133916832,3.242,1000,1,0,0,2023-10-18,0.9,yes,#大数据 | #人工智能,2023年数据采集仪器行业市场前景分析,https://blog.csdn.net/yeyuangen/article/details/133916832,,
194,128164318,3.239,2800,1,0,0,2022-12-03,0.8,yes,#harmonyos | #人工智能 | #华为,RV1126/RV1109 IPC板 + RK3568+鸿蒙AI视频解决方案,https://blog.csdn.net/yeyuangen/article/details/128164318,,
195,117536046,3.23,681,3,0,0,2021-06-03,0.8,yes,#C6748 | #OMAPL138 | #DSP | #FPGA | #软件无线电,一种基于C6748 DSP+FPGA的软件无线电平台的设计及应用,https://blog.csdn.net/yeyuangen/article/details/117536046,,
196,134164061,3.222,3800,0,0,0,2023-11-01,0.9,yes,#NI | #USB4431 | #国产化,NI USB-4431对标国产化4路同步采集卡解决方案,https://blog.csdn.net/yeyuangen/article/details/134164061,,
197,131390460,3.206,911,1,0,0,2023-06-26,0.9,yes,#数据采集 | #虚拟仪器,基于国产FPGA的分布式数据采集系统设计,https://blog.csdn.net/yeyuangen/article/details/131390460,,
198,131469011,3.201,3600,0,0,0,2023-06-30,0.9,yes,#fpga开发 | DAMO开发者矩阵 | 加入社区,【国产虚拟仪器】基于ZYNQ7045+V7 FPGA的多通道数据同步采集设计方案（二）,https://blog.csdn.net/yeyuangen/article/details/131469011,,
199,134664420,3.201,900,1,0,0,2023-11-28,0.9,yes,#采集卡,【国产虚拟仪器】基于ARM+FPGA的24bit采集卡,https://blog.csdn.net/yeyuangen/article/details/134664420,,
200,104908358,3.197,1100,2,0,0,2020-03-16,0.8,yes,#OMAPL138 | #C6748 | #SPARTAN-6 | #DSP+ARM+FPGA | #多核异构,OMAPL138 + SPARTAN6 DSP+ARM+FPGA核心板方案,https://blog.csdn.net/yeyuangen/article/details/104908358,,
